[1287, 11.50]
[1142, 2.50]
[1157, 2.30]
[1190, 11.30]
[1249, 1.40]
[1281, 2.50]
[1177, 12.50]
[1216, 3.30]
[1186, 12.40]
[1298, 2.40]
[1436, 10.40]
[1306, 12.50]
[1452, 11.30]
[1426, 1.30]
[1380, 11.40]
[1475, 11.40]
[1302, 12.50]
[1348, 11.40]
[1435, 12.40]
[1478, 11.30]
[1416, 9.50]
[1419, 10.50]
[1437, 1.50]
[1457, 10.40]
[1469, 2.50]
[1393, 3.50]
[1425, 12.50]
[1481, 1.30]
[1374, 10.50]
[1445, 11.40]
[1437, 2.50]
[1388, 12.50]
[1421, 10.30]
[1459, 1.40]
[1495, 1.40]
[1464, 12.50]
[1467, 10.40]
[1399, 10.40]
[1375, 11.40]
[1478, 11.30]
[1424, 11.50]
[1314, 11.50]
[1306, 3.30]
[1464, 2.50]
[1423, 11.40]
[1466, 3.50]
[1482, 12.40]
[1380, 12.40]
[1413, 12.40]
[1409, 3.40]
[1232, 12.50]
[1395, 10.50]
[1425, 11.30]
[1472, 12.50]
[1466, 1.40]
[1496, 12.40]
[1493, 1.50]
[1438, 9.40]
[1318, 1.50]
[1222, 1.50]
[1383, 2.30]
[1293, 10.40]
[1415, 12.30]
[1150, 1.40]
[1474, 11.50]
[1464, 3.30]
[1422, 1.50]
[1377, 3.50]
[1479, 11.30]
[1417, 2.50]
[1493, 3.30]
[1386, 10.50]
[1466, 11.40]
[1350, 1.50]
[1456, 11.50]
[1438, 10.50]
[1381, 1.30]
[1472, 10.50]
[1446, 1.40]
[1467, 11.30]
[1425, 12.30]
[1295, 1.30]
[1477, 1.40]
[1438, 10.50]
[1412, 11.30]
[1446, 1.30]
[1371, 12.40]
[1455, 11.30]
[1418, 11.40]
[1439, 3.30]
[1409, 2.40]
[1474, 1.30]
[1363, 12.30]
[1309, 1.40]
[1457, 11.30]
[1358, 12.40]
[1341, 10.50]
[1312, 10.30]
[1358, 11.50]
[1459, 2.40]
